title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Sid Meier's Civilization Revolution,X360,Strategy,2K Games,8.4,0.83,0.58,0.0,0.17,0.07,2008-07-08
Dragon Age II,PS3,Role-Playing,Electronic Arts,7.7,0.83,0.4,0.05,0.26,0.12,2011-03-08
Casper,PS,Adventure,Interplay,4.9,0.83,0.46,0.0,0.31,0.05,1996-09-17
Madden NFL 07,PSP,Sports,EA Sports,8.3,0.83,0.77,0.0,0.03,0.04,2006-08-22
Twisted Metal (2012),PS3,Action,Sony Computer Entertainment,7.9,0.83,0.67,0.0,0.07,0.09,2012-02-14
Tiger Woods PGA Tour 11,PS3,Sports,EA Sports,7.9,0.83,0.37,0.0,0.34,0.13,2010-06-08
Dragon Ball: Raging Blast 2,PS3,Fighting,Namco Bandai,6.0,0.83,0.43,0.11,0.19,0.1,2010-11-02
NCAA Football 12,PS3,Sports,EA Sports,7.7,0.83,0.78,0.0,0.0,0.06,2011-07-12
Duke Nukem Forever,X360,Shooter,2K Games,4.3,0.83,0.52,0.0,0.25,0.07,2011-06-14
Sniper: Ghost Warrior,PS3,Shooter,City Interactive,4.5,0.83,0.3,0.04,0.35,0.14,2011-06-28
Time Crisis 4,PS3,Shooter,Namco Bandai,6.1,0.83,0.32,0.05,0.32,0.14,2007-11-20
WWE SmackDown vs. Raw 2009,Wii,Fighting,THQ,8.2,0.83,0.44,0.0,0.31,0.08,2008-11-09
Yu-Gi-Oh! Dark Duel Stories,GB,Misc,Konami,6.2,0.83,0.0,0.83,0.0,0.0,2002-03-18
DJ Hero 2,X360,Misc,Activision,8.5,0.83,0.65,0.0,0.12,0.06,2010-10-19
Stranglehold,X360,Shooter,Midway Games,8.0,0.83,0.41,0.01,0.33,0.09,2007-09-05
Tony Hawk's Underground 2 Remix,PSP,Sports,Activision,8.5,0.82,0.46,0.0,0.21,0.15,2005-03-15
Tony Hawk's Pro Skater 3,GC,Sports,Activision,9.1,0.82,0.64,0.0,0.17,0.02,2001-11-13
Need for Speed: Hot Pursuit 2,XB,Racing,Electronic Arts,8.2,0.82,0.68,0.0,0.11,0.03,2002-10-01
MediEvil: Resurrection,PSP,Adventure,Sony Computer Entertainment,6.5,0.82,0.19,0.0,0.42,0.22,2005-09-13
The Crew 2,PS4,Racing,Ubisoft,6.5,0.82,0.22,0.05,0.42,0.12,2018-06-29
The Lord of the Rings: War in the North,PS3,Role-Playing,Warner Bros. Interactive,6.5,0.82,0.25,0.01,0.43,0.12,2011-11-01
Marvel: Ultimate Alliance,PS2,Role-Playing,Activision,8.1,0.82,0.69,0.0,0.03,0.11,2006-10-24
Patapon,PSP,Platform,Sony Computer Entertainment,8.7,0.82,0.33,0.07,0.25,0.17,2008-02-26
The Walking Dead: A Telltale Games Series,PS3,Adventure,Telltale Games,9.7,0.82,0.4,0.03,0.25,0.14,2012-11-20
Professor Layton vs Ace Attorney,3DS,Adventure,Nintendo,8.1,0.82,0.2,0.3,0.27,0.04,2014-08-29
Tales of Destiny II,PS,Role-Playing,Namco,7.5,0.81,0.06,0.66,0.04,0.05,2001-09-10
Pro Evolution Soccer 2010,X360,Sports,Konami,7.0,0.81,0.12,0.03,0.58,0.08,2009-11-03
NCAA Football 10,PS3,Sports,EA Sports,8.1,0.81,0.75,0.0,0.0,0.06,2009-07-14
Ready 2 Rumble Boxing: Round 2,PS2,Fighting,Midway Games,7.9,0.81,0.4,0.0,0.31,0.1,2000-10-23
The Legend of Zelda: Four Swords Adventures,GC,Adventure,Nintendo,8.4,0.81,0.63,0.0,0.16,0.02,2004-06-07
Army Men: Sarge's Heroes,N64,Shooter,3DO,4.2,0.81,0.68,0.0,0.12,0.01,1999-09-30
Madden NFL 16,PS3,Sports,EA Sports,8.0,0.81,0.6,0.0,0.07,0.15,2015-08-25
Golden Sun: Dark Dawn,DS,Role-Playing,Nintendo,8.0,0.81,0.53,0.13,0.1,0.05,2010-11-29
Professor Layton and the Azran Legacy,3DS,Puzzle,Nintendo,8.0,0.81,0.0,0.25,0.53,0.03,2014-02-28
Shaun White Snowboarding,X360,Sports,Ubisoft,6.2,0.81,0.48,0.0,0.25,0.08,2008-11-16
The Amazing Spider-Man (2012),PS3,Action-Adventure,Activision,7.3,0.8,0.31,0.0,0.36,0.12,2012-06-26
Guitar Hero: Metallica,X360,Misc,Activision,8.5,0.8,0.52,0.0,0.2,0.07,2009-03-29
Star Wars The Clone Wars: Republic Heroes,Wii,Action,LucasArts,4.8,0.8,0.43,0.0,0.3,0.07,2009-10-06
Final Fantasy Anthology,PS,Role-Playing,Square EA,8.6,0.8,0.45,0.0,0.3,0.05,1999-09-30
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,Sports,Nintendo,5.9,0.8,0.37,0.14,0.23,0.06,2013-11-15
Need for Speed: Hot Pursuit 2,GC,Racing,Electronic Arts,7.5,0.8,0.68,0.0,0.09,0.02,2002-10-01
DiRT 2,X360,Racing,Codemasters,8.8,0.8,0.32,0.0,0.39,0.09,2009-09-08
Star Wars Rogue Squadron III: Rebel Strike,GC,Simulation,LucasArts,8.3,0.8,0.62,0.0,0.16,0.02,2003-10-15
The Sims 2: Pets,PSP,Simulation,Electronic Arts,5.8,0.8,0.19,0.0,0.39,0.22,2006-12-14
PES 2009: Pro Evolution Soccer,PSP,Sports,Konami,7.3,0.8,0.04,0.26,0.33,0.17,2008-11-11
Darksiders II,X360,Action-Adventure,THQ,8.6,0.79,0.45,0.0,0.27,0.07,2012-08-14
Ridge Racer,PS,Racing,Namco,9.0,0.79,0.0,0.74,0.0,0.05,1995-09-09
Invizimals,PSP,Strategy,Sony Computer Entertainment,6.6,0.79,0.17,0.0,0.51,0.11,2010-10-12
Harvest Moon: A Wonderful Life,GC,Role-Playing,Natsume,8.2,0.79,0.61,0.0,0.16,0.02,2004-03-16
Dead Island: Riptide,X360,Misc,Deep Silver,5.6,0.79,0.44,0.01,0.27,0.07,2013-04-23
The Godfather II,X360,Adventure,Electronic Arts,6.2,0.79,0.47,0.01,0.23,0.08,2009-04-07
Band Hero,X360,Misc,Activision,7.6,0.79,0.51,0.0,0.21,0.07,2009-11-03
James Bond 007: Nightfire,GC,Shooter,Electronic Arts,8.1,0.78,0.6,0.0,0.16,0.02,2002-11-18
Goldeneye 007: Reloaded,PS3,Shooter,Activision,7.4,0.78,0.33,0.0,0.33,0.12,2011-11-01
MadWorld,Wii,Action,Sega,8.1,0.78,0.45,0.02,0.24,0.07,2009-03-10
F1 2016,PS4,Racing,Codemasters,8.0,0.78,0.07,0.03,0.56,0.11,2017-01-01
Need for Speed: ProStreet,PSP,Racing,Electronic Arts,5.6,0.78,0.24,0.01,0.33,0.19,2008-02-18
Fight Night Champion,X360,Fighting,EA Sports,8.4,0.78,0.4,0.0,0.31,0.07,2011-03-01
Naruto Shippuden: Ultimate Ninja Storm 2,X360,Fighting,Namco Bandai,7.6,0.78,0.43,0.01,0.27,0.07,2010-10-19
Tiger Woods PGA Tour 10,PS3,Sports,EA Sports,8.4,0.78,0.42,0.0,0.25,0.11,2009-06-08
NBA 2K7,PS2,Sports,2K Sports,8.2,0.78,0.65,0.0,0.02,0.11,2006-09-25
DJ Hero 2,PS3,Misc,Activision,8.4,0.78,0.49,0.0,0.19,0.1,2010-10-19
DJ Hero,Wii,Misc,Activision,8.6,0.78,0.47,0.0,0.23,0.08,2009-10-27
Too Human,X360,Role-Playing,Microsoft Game Studios,6.5,0.78,0.38,0.03,0.3,0.08,2008-08-19
Rayman Origins,X360,Platform,Ubisoft,9.0,0.78,0.38,0.0,0.32,0.08,2011-11-15
Sid Meier's Civilization Revolution,PS3,Strategy,2K Games,8.4,0.78,0.49,0.01,0.19,0.09,2008-07-08
Star Wars: The Force Unleashed II,Wii,Action,LucasArts,7.5,0.78,0.53,0.0,0.19,0.06,2010-10-26
Tom Clancy's Splinter Cell: Double Agent,X360,Action,Ubisoft,8.5,0.78,0.67,0.01,0.04,0.06,2006-10-17
Battlefield 1,PC,Shooter,Electronic Arts,9.1,0.77,0.3,0.0,0.41,0.06,2016-10-21
Ghost Squad,Wii,Shooter,Sega,7.0,0.77,0.42,0.08,0.21,0.07,2007-11-20
Star Wars Battlefront: Elite Squadron,PSP,Shooter,LucasArts,6.0,0.77,0.38,0.0,0.24,0.16,2009-11-03
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,Racing,Sega,7.7,0.77,0.37,0.0,0.32,0.07,2010-02-23
UFC Personal Trainer: The Ultimate Fitness System,X360,Sports,THQ,6.0,0.77,0.53,0.0,0.18,0.06,2011-06-28
Dragon Ball: Raging Blast,PS3,Fighting,Namco Bandai,5.6,0.77,0.37,0.11,0.19,0.1,2009-11-10
Pokémon Dash,DS,Racing,Nintendo,5.3,0.77,0.21,0.38,0.14,0.04,2005-03-14
Conker's Bad Fur Day,N64,Platform,Rare,9.2,0.77,0.53,0.0,0.22,0.02,2001-03-04
Maximo: Ghosts to Glory,PS2,Platform,Capcom,8.7,0.77,0.38,0.0,0.29,0.1,2002-02-11
Donkey Kong Country 3,GBA,Platform,Nintendo,7.5,0.77,0.45,0.14,0.17,0.01,2005-11-07
James Cameron's Avatar: The Game,X360,Action,Ubisoft,6.0,0.77,0.34,0.0,0.35,0.08,2009-12-01
Lips,X360,Misc,Microsoft Game Studios,7.1,0.77,0.12,0.0,0.56,0.1,2008-11-18
Twisted Metal: Head On,PSP,Action,Sony Computer Entertainment,7.5,0.77,0.71,0.0,0.0,0.06,2005-03-24
Andretti Racing,PS,Racing,EA Sports,7.3,0.77,0.43,0.0,0.29,0.05,1996-11-30
Need for Speed: Undercover,PSP,Racing,Electronic Arts,5.4,0.77,0.23,0.03,0.32,0.19,2008-11-17
The Sims 3,3DS,Simulation,Electronic Arts,5.6,0.77,0.3,0.03,0.38,0.07,2011-03-27
Lost Planet 2,X360,Shooter,Capcom,6.5,0.76,0.38,0.08,0.24,0.06,2010-05-11
Just Dance 2018,NS,Music,Ubisoft,8.0,0.76,0.3,0.0,0.4,0.06,2017-10-24
Kane & Lynch: Dead Men,X360,Shooter,Eidos Interactive,6.8,0.76,0.36,0.01,0.31,0.08,2007-11-13
Mortal Kombat: Deception,XB,Fighting,Midway Games,7.4,0.76,0.61,0.0,0.12,0.03,2004-10-04
Marvel vs. Capcom 2,PS2,Fighting,Capcom,8.2,0.76,0.31,0.13,0.24,0.08,2002-11-19
Sonic Unleashed,PS2,Platform,Sega,7.0,0.76,0.37,0.0,0.04,0.36,2008-11-18
Banjo-Kazooie: Nuts & Bolts,X360,Platform,Microsoft Game Studios,8.0,0.76,0.32,0.0,0.35,0.08,2008-11-12
Tony Hawk's Pro Skater 2,N64,Sports,Activision,8.5,0.76,0.59,0.0,0.16,0.01,2001-08-21
Band Hero,PS3,Misc,Activision,7.6,0.76,0.41,0.0,0.23,0.12,2009-11-03
Resident Evil: Revelations,PS3,Action,Capcom,7.6,0.76,0.14,0.22,0.32,0.09,2013-05-21
Final Fantasy Legend III,GB,Role-Playing,Square,7.0,0.76,0.0,0.76,0.0,0.0,1993-09-29
Harry Potter and the Half-Blood Prince,Wii,Action,Electronic Arts,6.0,0.76,0.28,0.0,0.4,0.08,2009-06-30
Toy Story 3: The Video Game,X360,Action,Disney Interactive Studios,7.5,0.76,0.41,0.0,0.27,0.07,2010-06-15
Duke Nukem Forever,PS3,Shooter,2K Games,4.4,0.76,0.33,0.0,0.31,0.11,2011-06-14
PokéPark 2: Wonders Beyond,Wii,Action-Adventure,Nintendo,6.5,0.76,0.26,0.27,0.19,0.04,2012-02-27
Rockstar Games presents Table Tennis,X360,Sports,Rockstar Games,8.1,0.75,0.28,0.0,0.38,0.08,2006-05-22
LEGO City Undercover,PS4,Platform,Warner Bros. Interactive Entertainment,8.0,0.75,0.17,0.01,0.46,0.12,2017-04-04
Wall-E,PS2,Platform,THQ,7.5,0.75,0.21,0.0,0.0,0.54,2008-06-24
Spectrobes,DS,Role-Playing,Disney Interactive Studios,6.2,0.75,0.66,0.0,0.03,0.06,2007-03-06
Zone of the Enders,PS2,Simulation,Konami,7.5,0.75,0.3,0.13,0.24,0.08,2001-03-26
FIFA 19,NS,Sports,Electronic Arts,5.9,0.75,0.18,0.06,0.47,0.05,2018-09-28
Madden NFL 06,PSP,Sports,EA Sports,7.9,0.75,0.69,0.0,0.0,0.06,2005-09-20
Tom Clancy's Rainbow Six: Vegas,PSP,Shooter,Ubisoft,5.8,0.75,0.42,0.0,0.2,0.13,2007-06-12
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Fighting,Capcom,7.9,0.75,0.22,0.3,0.17,0.06,2001-11-06
Turok,X360,Shooter,Touchstone,6.6,0.75,0.46,0.01,0.2,0.07,2008-02-05
Disney Infinity 2.0: Marvel Super Heroes,PS4,Action-Adventure,Disney Interactive Studios,8.0,0.75,0.37,0.0,0.25,0.13,2014-09-23
Kane & Lynch: Dead Men,PS3,Shooter,Eidos Interactive,6.8,0.75,0.29,0.01,0.32,0.13,2007-11-13
Coded Arms,PSP,Shooter,Konami,6.1,0.75,0.28,0.0,0.29,0.17,2005-07-06
Drawn to Life: The Next Chapter,Wii,Puzzle,THQ,5.8,0.75,0.28,0.0,0.39,0.08,2009-10-27
WWE SmackDown vs. Raw 2009,PSP,Fighting,THQ,7.9,0.75,0.41,0.0,0.2,0.14,2008-11-09
The Lord of the Rings: Conquest,PS3,Action,Electronic Arts,5.8,0.75,0.38,0.0,0.26,0.11,2009-01-13
Genji: Days of the Blade,PS3,Action,Sony Computer Entertainment,5.0,0.75,0.18,0.06,0.38,0.14,2006-11-14
The Amazing Spider-Man (2012),X360,Action-Adventure,Activision,6.8,0.74,0.43,0.0,0.24,0.07,2012-06-26
Ace Combat: Assault Horizon,PS3,Action,Namco Bandai,7.5,0.74,0.3,0.22,0.16,0.07,2011-10-11
X-Men Origins: Wolverine - Uncaged Edition,PS3,Action,Activision,7.0,0.74,0.31,0.0,0.31,0.12,2009-05-01
Sega Superstars Tennis,DS,Sports,Sega,6.2,0.74,0.29,0.0,0.37,0.08,2008-03-18
Red Faction: Guerrilla,PS3,Shooter,THQ,8.6,0.74,0.33,0.02,0.27,0.12,2009-06-02
Marvel: Ultimate Alliance 2,PS3,Role-Playing,Activision,7.8,0.74,0.49,0.0,0.16,0.09,2009-09-15
Resonance of Fate,PS3,Role-Playing,Sega,7.5,0.74,0.2,0.24,0.22,0.08,2010-03-16
Tales of Vesperia,X360,Role-Playing,Namco Bandai,8.1,0.74,0.32,0.19,0.18,0.05,2008-08-26
Need for Speed (2015),XOne,Racing,Electronic Arts,6.7,0.74,0.35,0.0,0.33,0.06,2015-11-03
Mortal Kombat: Unchained,PSP,Fighting,Midway Games,7.0,0.74,0.67,0.0,0.01,0.06,2006-11-15
The Godfather II,PS3,Adventure,Electronic Arts,6.4,0.74,0.41,0.01,0.21,0.1,2009-04-07
Sonic Forces,NS,Platform,Sega,5.4,0.74,0.39,0.01,0.27,0.06,2017-11-07
Need for Speed: Payback,XOne,Racing,Electronic Arts,5.9,0.73,0.42,0.0,0.24,0.07,2017-11-10
WWE SmackDown vs. Raw 2010,Wii,Fighting,THQ,7.8,0.73,0.49,0.0,0.17,0.06,2009-10-20
Katamari Damacy,PS2,Puzzle,Namco,8.5,0.73,0.47,0.17,0.02,0.08,2004-09-21
Brink,PS3,Shooter,Bethesda Softworks,7.1,0.73,0.29,0.01,0.32,0.12,2011-05-10
Final Fantasy XIII-2,X360,Role-Playing,Square Enix,7.9,0.73,0.36,0.02,0.29,0.06,2012-01-31
Star Ocean: The Last Hope International,PS3,Role-Playing,Square Enix,8.1,0.73,0.28,0.22,0.15,0.07,2010-02-09
NCAA Football 07,X360,Sports,Electronic Arts,8.0,0.73,0.67,0.0,0.0,0.06,2006-07-18
MLB 10: The Show,PS3,Sports,Sony Computer Entertainment,8.6,0.73,0.67,0.0,0.0,0.06,2010-03-02
NHL 11,X360,Sports,EA Sports,8.8,0.73,0.61,0.0,0.07,0.05,2010-09-07
Madden NFL 11,Wii,Sports,EA Sports,6.8,0.73,0.68,0.0,0.0,0.05,2010-08-10
MLB 14 The Show,PS4,Sports,Sony Computer Entertainment,8.3,0.73,0.59,0.0,0.0,0.14,2014-05-06
Crysis 2,PC,Shooter,Electronic Arts,8.7,0.73,0.16,0.0,0.45,0.12,2011-03-22
MLB 09: The Show,PS3,Sports,Sony Computer Entertainment,8.9,0.72,0.66,0.0,0.0,0.06,2009-03-03
Indiana Jones and the Staff of Kings,Wii,Action,LucasArts,5.1,0.72,0.36,0.0,0.29,0.07,2009-06-09
Monster Hunter Generations Ultimate,NS,Action,Capcom,7.7,0.72,0.27,0.27,0.14,0.04,2018-08-28
XCOM: Enemy Unknown,PC,Strategy,2K Games,9.0,0.72,0.28,0.0,0.37,0.07,2012-10-09
Blur,PS3,Racing,Activision,8.3,0.72,0.22,0.02,0.37,0.12,2010-05-25
F1 2011,X360,Racing,Codemasters,8.5,0.72,0.11,0.01,0.5,0.09,2011-09-20
Mx vs. ATV Reflex,X360,Racing,THQ,7.4,0.72,0.52,0.0,0.14,0.06,2009-12-01
James Bond 007: Agent Under Fire,GC,Shooter,Electronic Arts,7.5,0.72,0.56,0.0,0.15,0.02,2002-03-13
Rabbids Go Home,DS,Platform,Ubisoft,8.8,0.72,0.35,0.0,0.3,0.07,2009-11-03
Kirby: Canvas Curse,DS,Platform,Nintendo,8.9,0.72,0.36,0.32,0.0,0.03,2005-06-13
Battlefield: Bad Company 2,PC,Shooter,Electronic Arts,8.8,0.72,0.19,0.0,0.53,0.0,2010-03-02
James Cameron's Avatar: The Game,Wii,Action,Ubisoft,5.9,0.72,0.32,0.0,0.32,0.07,2009-12-01
Tiger Woods PGA Tour 07,PS2,Sports,EA Sports,7.8,0.72,0.6,0.0,0.02,0.1,2006-10-10
Madden NFL 10,Wii,Sports,EA Sports,7.5,0.72,0.62,0.0,0.04,0.06,2009-08-14
Madden NFL 08,PSP,Sports,EA Sports,7.3,0.71,0.6,0.0,0.04,0.07,2007-08-14
Madden NFL 09,PSP,Sports,EA Sports,6.9,0.71,0.65,0.0,0.0,0.06,2008-08-12
Blast Corps,N64,Action,Nintendo,9.1,0.71,0.39,0.17,0.09,0.06,1997-02-28
Virtua Fighter 4: Evolution,PS2,Fighting,Sega,8.9,0.71,0.35,0.0,0.27,0.09,2003-08-13
Mortal Kombat (2011),PSV,Fighting,Warner Bros. Interactive Entertainment,8.8,0.71,0.42,0.0,0.15,0.15,2012-05-02
Godzilla: Destroy All Monsters Melee,GC,Fighting,Atari,7.5,0.71,0.55,0.0,0.14,0.02,2002-10-08
Yu-Gi-Oh! The Falsebound Kingdom,GC,Strategy,Konami,4.4,0.71,0.49,0.07,0.13,0.02,2003-11-04
The LEGO Movie Videogame,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,6.0,0.71,0.26,0.01,0.32,0.11,2014-02-07
Astro Bot Rescue Mission,PS4,Platform,Sony Interactive Entertainment,8.5,0.71,0.22,0.02,0.36,0.11,2018-10-02
Spyro: Enter the Dragonfly,GC,Platform,VU Games,5.0,0.71,0.55,0.0,0.14,0.02,2002-11-08
Catherine,PS3,Puzzle,Atlus,7.9,0.71,0.3,0.2,0.15,0.06,2011-07-26
Conker: Live And Reloaded,XB,Action-Adventure,Microsoft Game Studios,8.1,0.71,0.49,0.0,0.2,0.02,2005-06-21
DiRT 3,X360,Racing,Codemasters,9.1,0.71,0.23,0.01,0.4,0.07,2011-05-24
South Park,PS,Shooter,Acclaim Entertainment,1.7,0.71,0.39,0.0,0.27,0.05,1999-09-30
Doom 3: Resurrection of Evil,XB,Shooter,Activision,8.2,0.71,0.53,0.0,0.15,0.03,2005-10-05
Plants vs Zombies: Garden Warfare,XOne,Shooter,Electronic Arts,7.6,0.71,0.39,0.0,0.25,0.06,2014-02-25
LEGO Harry Potter: Years 1-4,PSP,Adventure,Warner Bros. Interactive,7.5,0.71,0.14,0.0,0.38,0.19,2010-06-29
Monster Hunter 3 Ultimate,WiiU,Role-Playing,Capcom,8.7,0.71,0.24,0.22,0.2,0.04,2013-03-19
F-14 Tomcat,GBA,Action,Majesco,6.9,0.7,0.5,0.0,0.19,0.01,2001-09-02
Mafia,PS2,Action,Gathering of Developers,6.5,0.7,0.34,0.0,0.27,0.09,2004-01-28
Spider-Man 2,PSP,Action,Activision,6.4,0.7,0.35,0.0,0.21,0.14,2005-03-15
TimeSplitters 2,PS2,Shooter,Eidos Interactive,9.1,0.7,0.34,0.0,0.27,0.09,2002-10-09
Driver: San Francisco,X360,Racing,Ubisoft,8.1,0.7,0.25,0.0,0.37,0.07,2011-09-06
The Sims: Medieval,PC,Simulation,Electronic Arts,7.2,0.7,0.29,0.0,0.32,0.09,2011-03-22
LEGO Rock Band,Wii,Misc,Warner Bros. Interactive,6.8,0.7,0.41,0.0,0.22,0.06,2009-11-03
Rocksmith 2014,PC,Music,Ubisoft,9.0,0.7,0.39,0.0,0.24,0.06,2016-10-04
Monster Hunter Stories,3DS,Role-Playing,Capcom,8.1,0.7,0.14,0.39,0.15,0.03,2017-09-08
RIFT,PC,Role-Playing,Unknown,8.3,0.7,0.47,0.0,0.16,0.08,2011-03-01
Jade Empire,XB,Role-Playing,Microsoft Game Studios,9.0,0.7,0.48,0.0,0.19,0.03,2005-04-12
Chocobo's Dungeon 2,PS,Role-Playing,Square EA,6.2,0.7,0.04,0.58,0.03,0.05,1999-11-30
Advance Wars,GBA,Strategy,Nintendo,9.4,0.7,0.5,0.0,0.19,0.01,2001-09-09
Tony Hawk's Underground,GC,Sports,Activision,9.0,0.7,0.54,0.0,0.14,0.02,2003-10-27
FIFA Soccer 11,DS,Sports,EA Sports,7.0,0.7,0.13,0.0,0.49,0.08,2010-09-28
Ape Escape: On the Loose,PSP,Platform,Sony Computer Entertainment,6.6,0.7,0.52,0.12,0.01,0.05,2005-03-22
Disney's Chicken Little,GBA,Platform,Buena Vista,7.9,0.7,0.5,0.0,0.18,0.01,2005-10-20
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,7.7,0.7,0.23,0.3,0.14,0.04,2010-02-16
NHL 12,X360,Sports,EA Sports,8.8,0.7,0.55,0.0,0.1,0.05,2011-09-13
Classic NES Series: Zelda II: The Adventure of Link,GBA,Adventure,Nintendo,6.6,0.7,0.37,0.17,0.14,0.01,2004-10-25
Madden NFL 2005,GC,Sports,EA Sports,9.2,0.7,0.54,0.0,0.14,0.02,2004-08-09
James Bond 007: Blood Stone,PS3,Action,Activision,6.2,0.7,0.18,0.02,0.37,0.12,2010-11-02
Transformers: Revenge of the Fallen,PS3,Action,Activision,6.5,0.7,0.28,0.0,0.3,0.12,2009-06-23
Mortal Kombat: Shaolin Monks,PS2,Action,Midway Games,8.0,0.69,0.58,0.0,0.02,0.09,2005-09-16
MotionSports,X360,Sports,Ubisoft,4.1,0.69,0.38,0.0,0.25,0.07,2010-11-04
Rayman Legends,NS,Platform,Ubisoft,4.5,0.69,0.23,0.0,0.4,0.05,2017-09-12
Kirby's Dream Collection: Special Edition,Wii,Platform,Nintendo,8.0,0.69,0.33,0.33,0.0,0.03,2012-09-16
The Sly Collection,PS3,Platform,Sony Computer Entertainment,8.7,0.69,0.52,0.01,0.08,0.08,2010-11-09
Dragon Ball Z: Budokai,GC,Fighting,Atari,6.8,0.69,0.53,0.0,0.14,0.02,2003-10-28
Fortnite,NS,Shooter,Warner Bros. Interactive Entertainment,8.5,0.69,0.38,0.01,0.24,0.06,2018-11-16
Halo 2 Multiplayer Map Pack,XB,Shooter,Microsoft Game Studios,8.6,0.69,0.54,0.0,0.13,0.02,2005-07-05
Metal Gear Solid: Portable Ops Plus,PSP,Action,Konami,6.9,0.69,0.26,0.26,0.01,0.17,2007-11-13
The Lord of the Rings: The Return of the King,GC,Action,Electronic Arts,8.7,0.69,0.53,0.0,0.14,0.02,2003-11-05
Top Spin 4,PS3,Sports,2K Sports,8.2,0.69,0.17,0.0,0.4,0.12,2011-03-15
X-Men Origins: Wolverine - Uncaged Edition,X360,Action,Activision,7.1,0.69,0.42,0.0,0.21,0.06,2009-05-01
MX vs. ATV Unleashed: On the Edge,PSP,Racing,THQ,7.3,0.69,0.64,0.0,0.0,0.05,2006-02-27
IL-2 Sturmovik: Birds of Prey,PS3,Simulation,505 Games,8.0,0.69,0.34,0.0,0.25,0.1,2009-09-08
The Evil Within,XOne,Misc,Bethesda Softworks,7.9,0.69,0.36,0.0,0.27,0.06,2014-10-14
Bushido Blade 2,PS,Fighting,Square EA,7.5,0.68,0.25,0.22,0.17,0.04,1998-02-28
NHL 13,X360,Sports,Electronic Arts,8.2,0.68,0.51,0.0,0.11,0.06,2012-09-11
Baldur's Gate: Dark Alliance II,PS2,Role-Playing,Interplay,7.8,0.68,0.34,0.0,0.26,0.09,2004-01-20
F1 2015,PS4,Racing,Codemasters,5.9,0.68,0.1,0.04,0.45,0.1,2015-07-21
.hack//Mutation Part 2,PS2,Role-Playing,Bandai,7.5,0.68,0.23,0.2,0.18,0.06,2003-05-07
Iron Man,PS3,Action,Sega,5.1,0.68,0.32,0.0,0.25,0.11,2008-05-02
Star Wars: Masters of Teras Kasi,PS,Action,LucasArts,6.8,0.68,0.38,0.0,0.26,0.04,1997-10-31
Rayman Legends,WiiU,Platform,Ubisoft,9.5,0.68,0.25,0.03,0.35,0.05,2013-09-03
Suikoden II,PS,Role-Playing,Konami,8.5,0.68,0.15,0.38,0.1,0.04,1999-09-29
Test Drive Unlimited 2,X360,Racing,Atari,6.8,0.68,0.3,0.0,0.32,0.06,2011-02-08
Hot Shots Golf: Open Tee 2,PSP,Sports,Sony Computer Entertainment,8.0,0.68,0.21,0.28,0.11,0.08,2008-06-03
Madden NFL 10,PSP,Sports,EA Sports,8.0,0.67,0.5,0.0,0.08,0.09,2009-08-14
Mass Effect,PC,Role-Playing,Electronic Arts,9.1,0.67,0.0,0.0,0.59,0.07,2008-05-28
Diablo III: Eternal Collection,NS,Action,Blizzard Entertainment,9.0,0.67,0.38,0.01,0.22,0.06,2018-11-02
Contra: Legacy of War,PS,Shooter,Konami,6.5,0.67,0.37,0.0,0.25,0.04,1996-11-30
100 Classic Books,DS,Misc,Nintendo,4.0,0.67,0.12,0.0,0.52,0.02,2010-06-14
Unreal Tournament III,PS3,Shooter,Midway Games,8.6,0.67,0.33,0.0,0.24,0.1,2007-12-11
Wild ARMs 2,PS,Role-Playing,Sony Computer Entertainment,6.5,0.67,0.19,0.31,0.13,0.04,2000-04-30
Need for Speed: Shift 2 Unleashed,PS3,Racing,Electronic Arts,8.4,0.67,0.2,0.0,0.36,0.12,2011-03-29
The Sims 3,DS,Simulation,Electronic Arts,7.5,0.67,0.38,0.0,0.23,0.06,2010-10-26
Blazing Angels: Squadrons of WWII,PS3,Simulation,Ubisoft,6.8,0.67,0.35,0.0,0.22,0.1,2006-12-12
Call of Duty: Ghosts,PC,Shooter,Activision,8.8,0.67,0.26,0.0,0.36,0.05,2013-11-05
Disney Infinity,WiiU,Action-Adventure,Disney Interactive Studios,7.6,0.67,0.37,0.0,0.24,0.06,2013-08-18
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,Adventure,Buena Vista,6.8,0.67,0.48,0.0,0.18,0.01,2005-11-14
Napoleon: Total War,PC,Strategy,Sega,8.5,0.67,0.02,0.0,0.54,0.11,2010-02-23
Spider-Man 3,PS3,Platform,Activision,6.6,0.67,0.26,0.02,0.29,0.11,2007-05-04
Book of Spells,PS3,Misc,Sony Computer Entertainment,6.5,0.66,0.16,0.0,0.4,0.11,2012-11-13
The Sims: Bustin' Out,GC,Simulation,Electronic Arts,7.9,0.66,0.43,0.0,0.2,0.03,2003-12-15
